Accession,Description
Q6PDM2,Serine/arginine-rich splicing factor 1 OS=Mus musculus GN=Srsf1 PE=1 SV=3 - [SRSF1_MOUSE]
P84104,Serine/arginine-rich splicing factor 3 OS=Mus musculus GN=Srsf3 PE=1 SV=1 - [SRSF3_MOUSE]
Q9D0B0,Serine/arginine-rich splicing factor 9 OS=Mus musculus GN=Srsf9 PE=1 SV=1 - [SRSF9_MOUSE]
Q3TYD6,Serine/threonine-protein kinase LMTK2 OS=Mus musculus GN=Lmtk2 PE=1 SV=3 - [LMTK2_MOUSE]
Q8VHJ5,Serine/threonine-protein kinase MARK1 OS=Mus musculus GN=Mark1 PE=1 SV=2 - [MARK1_MOUSE]
Q9JLN9,Serine/threonine-protein kinase mTOR OS=Mus musculus GN=Mtor PE=1 SV=2 - [MTOR_MOUSE]
Q3UGM2,Serine/threonine-protein kinase Nek10 OS=Mus musculus GN=Nek10 PE=2 SV=2 - [NEK10_MOUSE]
Q8BHI9,Serine/threonine-protein kinase NIM1 OS=Mus musculus GN=Nim1k PE=2 SV=1 - [NIM1_MOUSE]
Q61136,Serine/threonine-protein kinase PRP4 homolog OS=Mus musculus GN=Prpf4b PE=1 SV=3 - [PRP4B_MOUSE]
E9PU87,Serine/threonine-protein kinase SIK3 OS=Mus musculus GN=Sik3 PE=1 SV=1 - [E9PU87_MOUSE]
Q9WTK7,Serine/threonine-protein kinase STK11 OS=Mus musculus GN=Stk11 PE=1 SV=1 - [STK11_MOUSE]
Q5F2E8,Serine/threonine-protein kinase TAO1 OS=Mus musculus GN=Taok1 PE=1 SV=1 - [TAOK1_MOUSE]
O70405,Serine/threonine-protein kinase ULK1 OS=Mus musculus GN=Ulk1 PE=1 SV=1 - [ULK1_MOUSE]
Q3V129,Serine/threonine-protein kinase ULK4 OS=Mus musculus GN=Ulk4 PE=2 SV=2 - [ULK4_MOUSE]
Q80W00,Serine/threonine-protein phosphatase 1 regulatory subunit 10 OS=Mus musculus GN=Ppp1r10 PE=1 SV=1 - [PP1RA_MOUSE]
Q6P1F6,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform OS=Mus musculus GN=Ppp2r2a PE=1 SV=1 - [2ABA_MOUSE]
P58389,Serine/threonine-protein phosphatase 2A activator OS=Mus musculus GN=Ppp2r4 PE=1 SV=1 - [PTPA_MOUSE]
E9Q481,Serine/threonine-protein phosphatase 4 regulatory subunit 3A OS=Mus musculus GN=Smek1 PE=1 SV=1 - [E9Q481_MOUSE]
Q8C0Y0,Serine/threonine-protein phosphatase 4 regulatory subunit 4 OS=Mus musculus GN=Ppp4r4 PE=2 SV=2 - [PP4R4_MOUSE]
Q505D1,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Mus musculus GN=Ankrd28 PE=1 SV=1 - [ANR28_MOUSE]
Q8R3Q2,Serine/threonine-protein phosphatase 6 regulatory subunit 2 OS=Mus musculus GN=Ppp6r2 PE=1 SV=1 - [PP6R2_MOUSE]
P62141,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Mus musculus GN=Ppp1cb PE=1 SV=3 - [PP1B_MOUSE]
Q3UHI0,Serine-rich coiled-coil domain-containing protein 2 OS=Mus musculus GN=Ccser2 PE=1 SV=1 - [CCSE2_MOUSE]
Q8C483,"Serine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Sars PE=2 SV=1 - [Q8C483_MOUSE]"
F8WIV2,Serpin B6 OS=Mus musculus GN=Serpinb6a PE=1 SV=1 - [F8WIV2_MOUSE]
P19324,Serpin H1 OS=Mus musculus GN=Serpinh1 PE=1 SV=3 - [SERPH_MOUSE]
Q9JK88,Serpin I2 OS=Mus musculus GN=Serpini2 PE=2 SV=1 - [SPI2_MOUSE]
Q91X20,Set1/Ash2 histone methyltransferase complex subunit ASH2 OS=Mus musculus GN=Ash2l PE=1 SV=1 - [ASH2L_MOUSE]
A6X942,SH2 domain-containing protein 4B OS=Mus musculus GN=Sh2d4b PE=2 SV=1 - [SH24B_MOUSE]
Q8R1B0,SH3 and cysteine-rich domain-containing protein 2 OS=Mus musculus GN=Stac2 PE=2 SV=1 - [STAC2_MOUSE]
D3YZU5,SH3 and multiple ankyrin repeat domains protein 1 OS=Mus musculus GN=Shank1 PE=1 SV=1 - [D3YZU5_MOUSE]
D3YZU1,SH3 and multiple ankyrin repeat domains protein 1 OS=Mus musculus GN=Shank1 PE=1 SV=1 - [SHAN1_MOUSE]
D3Z5K8,SH3 and multiple ankyrin repeat domains protein 2 OS=Mus musculus GN=Shank2 PE=1 SV=1 - [D3Z5K8_MOUSE]
A2AAY5,SH3 and PX domain-containing protein 2B OS=Mus musculus GN=Sh3pxd2b PE=1 SV=1 - [SPD2B_MOUSE]
A2A5V4,SH3 domain-binding protein 1 OS=Mus musculus GN=Sh3bp1 PE=1 SV=1 - [A2A5V4_MOUSE]
Q8VD37,SH3-containing GRB2-like protein 3-interacting protein 1 OS=Mus musculus GN=Sgip1 PE=1 SV=1 - [SGIP1_MOUSE]
Q61120,SHC-transforming protein 3 OS=Mus musculus GN=Shc3 PE=1 SV=2 - [SHC3_MOUSE]
Q8K2Q9,Shootin-1 OS=Mus musculus GN=Kiaa1598 PE=1 SV=1 - [SHOT1_MOUSE]
Q78YZ6,Short coiled-coil protein OS=Mus musculus GN=Scoc PE=2 SV=1 - [SCOC_MOUSE]
Q61056,Short transient receptor potential channel 1 OS=Mus musculus GN=Trpc1 PE=1 SV=5 - [TRPC1_MOUSE]
Q9DBL1,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadsb PE=1 SV=1 - [ACDSB_MOUSE]"
Q9D665,Short-chain dehydrogenase/reductase family 42E member 1 OS=Mus musculus GN=Sdr42e1 PE=2 SV=1 - [D42E1_MOUSE]
A2AQ25,Sickle tail protein OS=Mus musculus GN=Skt PE=1 SV=1 - [SKT_MOUSE]
P52633,Signal transducer and transcription activator 6 OS=Mus musculus GN=Stat6 PE=1 SV=2 - [STAT6_MOUSE]
Q3UGN9,Signal transducing adapter molecule 1 OS=Mus musculus GN=Stam PE=2 SV=1 - [Q3UGN9_MOUSE]
O88811,Signal transducing adapter molecule 2 OS=Mus musculus GN=Stam2 PE=1 SV=1 - [STAM2_MOUSE]
Q8C0T5,Signal-induced proliferation-associated 1-like protein 1 OS=Mus musculus GN=Sipa1l1 PE=1 SV=2 - [SI1L1_MOUSE]
E0CYU9,Sjoegren syndrome/scleroderma autoantigen 1 homolog OS=Mus musculus GN=Sssca1 PE=4 SV=1 - [E0CYU9_MOUSE]
B1AUF2,Ski oncogene OS=Mus musculus GN=Ski PE=4 SV=1 - [B1AUF2_MOUSE]
Q8C110,SLIT and NTRK-like protein 6 OS=Mus musculus GN=Slitrk6 PE=1 SV=1 - [SLIK6_MOUSE]
Q8BJU0,Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Mus musculus GN=Sgta PE=1 SV=2 - [SGTA_MOUSE]
P62305,Small nuclear ribonucleoprotein E OS=Mus musculus GN=Snrpe PE=2 SV=1 - [RUXE_MOUSE]
Q5XG71,Small subunit processome component 20 homolog OS=Mus musculus GN=Utp20 PE=2 SV=2 - [UTP20_MOUSE]
P63166,Small ubiquitin-related modifier 1 OS=Mus musculus GN=Sumo1 PE=1 SV=1 - [SUMO1_MOUSE]
P31650,Sodium- and chloride-dependent GABA transporter 3 OS=Mus musculus GN=Slc6a11 PE=1 SV=2 - [S6A11_MOUSE]
P31650,Sodium- and chloride-dependent GABA transporter 3 OS=Mus musculus GN=Slc6a11 PE=1 SV=2 - [S6A11_MOUSE]
P31650,Sodium- and chloride-dependent GABA transporter 3 OS=Mus musculus GN=Slc6a11 PE=1 SV=2 - [S6A11_MOUSE]
B2RXE2,Sodium/hydrogen exchanger OS=Mus musculus GN=Slc9a5 PE=2 SV=1 - [B2RXE2_MOUSE]
F7C7C4,Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 2 OS=Mus musculus GN=Nkain2 PE=4 SV=1 - [F7C7C4_MOUSE]
Q9ES07,Solute carrier family 15 member 2 OS=Mus musculus GN=Slc15a2 PE=2 SV=1 - [S15A2_MOUSE]
P17809,"Solute carrier family 2, facilitated glucose transporter member 1 OS=Mus musculus GN=Slc2a1 PE=1 SV=4 - [GTR1_MOUSE]"
Q9ERH8,Solute carrier family 28 member 3 OS=Mus musculus GN=Slc28a3 PE=2 SV=1 - [S28A3_MOUSE]
Q62226,Sonic hedgehog protein OS=Mus musculus GN=Shh PE=1 SV=2 - [SHH_MOUSE]
Q6P069,Sorcin OS=Mus musculus GN=Sri PE=1 SV=1 - [SORCN_MOUSE]
G3UXB6,Sorting nexin-14 OS=Mus musculus GN=Snx14 PE=4 SV=1 - [G3UXB6_MOUSE]
D3Z479,Sorting nexin-15 OS=Mus musculus GN=Snx15 PE=4 SV=1 - [D3Z479_MOUSE]
Q3UHD6,Sorting nexin-27 OS=Mus musculus GN=Snx27 PE=1 SV=2 - [SNX27_MOUSE]
Q4VAA7,Sorting nexin-33 OS=Mus musculus GN=Snx33 PE=1 SV=1 - [SNX33_MOUSE]
Q91YJ2,Sorting nexin-4 OS=Mus musculus GN=Snx4 PE=2 SV=1 - [SNX4_MOUSE]
Q8R1X6,Spartin OS=Mus musculus GN=Spg20 PE=1 SV=1 - [SPG20_MOUSE]
Q3UHA3,Spatacsin OS=Mus musculus GN=Spg11 PE=2 SV=3 - [SPTCS_MOUSE]
Q8C0X8,Sperm motility kinase X OS=Mus musculus PE=2 SV=1 - [SMKX_MOUSE]
Q7TME2,Sperm-associated antigen 5 OS=Mus musculus GN=Spag5 PE=2 SV=1 - [SPAG5_MOUSE]
Q80VP2,Spermatogenesis-associated protein 7 homolog OS=Mus musculus GN=Spata7 PE=1 SV=1 - [SPAT7_MOUSE]
A2RRY8,Spermatogenesis-associated serine-rich protein 1 OS=Mus musculus GN=Spats1 PE=2 SV=1 - [SPAS1_MOUSE]
Q9JIA7,Sphingosine kinase 2 OS=Mus musculus GN=Sphk2 PE=1 SV=2 - [SPHK2_MOUSE]
Q9JHS9,Spliceosome-associated protein CWC15 homolog OS=Mus musculus GN=Cwc15 PE=1 SV=1 - [CWC15_MOUSE]
E9Q4Q2,Splicing factor 1 OS=Mus musculus GN=Sf1 PE=1 SV=1 - [E9Q4Q2_MOUSE]
Q8K4Z5,Splicing factor 3A subunit 1 OS=Mus musculus GN=Sf3a1 PE=1 SV=1 - [SF3A1_MOUSE]
G3UVU2,Splicing factor 3A subunit 2 OS=Mus musculus GN=Sf3a2 PE=4 SV=1 - [G3UVU2_MOUSE]
Q921M3,Splicing factor 3B subunit 3 OS=Mus musculus GN=Sf3b3 PE=2 SV=1 - [SF3B3_MOUSE]
Q923D4,Splicing factor 3B subunit 5 OS=Mus musculus GN=Sf3b5 PE=2 SV=1 - [SF3B5_MOUSE]
Q924S8,"Sprouty-related, EVH1 domain-containing protein 1 OS=Mus musculus GN=Spred1 PE=1 SV=1 - [SPRE1_MOUSE]"
Q91WK1,SPRY domain-containing protein 4 OS=Mus musculus GN=Spryd4 PE=1 SV=1 - [SPRY4_MOUSE]
P52019,Squalene monooxygenase OS=Mus musculus GN=Sqle PE=2 SV=1 - [ERG1_MOUSE]
O88452,Stanniocalcin-2 OS=Mus musculus GN=Stc2 PE=1 SV=1 - [STC2_MOUSE]
Q8R1R3,"StAR-related lipid transfer protein 7, mitochondrial OS=Mus musculus GN=Stard7 PE=2 SV=2 - [STAR7_MOUSE]"
Q9Z1W9,STE20/SPS1-related proline-alanine-rich protein kinase OS=Mus musculus GN=Stk39 PE=1 SV=1 - [STK39_MOUSE]
P27786,"Steroid 17-alpha-hydroxylase/17,20 lyase OS=Mus musculus GN=Cyp17a1 PE=2 SV=1 - [CP17A_MOUSE]"
F6XZS9,Sterol regulatory element-binding protein 1 (Fragment) OS=Mus musculus GN=Srebf1 PE=4 SV=1 - [F6XZS9_MOUSE]
Q99JB2,"Stomatin-like protein 2, mitochondrial OS=Mus musculus GN=Stoml2 PE=1 SV=1 - [STML2_MOUSE]"
O55106,Striatin OS=Mus musculus GN=Strn PE=1 SV=2 - [STRN_MOUSE]
Q9ERG2,Striatin-3 OS=Mus musculus GN=Strn3 PE=1 SV=1 - [STRN3_MOUSE]
P58404,Striatin-4 OS=Mus musculus GN=Strn4 PE=1 SV=2 - [STRN4_MOUSE]
Q9DCT5,Stromal cell-derived factor 2 OS=Mus musculus GN=Sdf2 PE=2 SV=1 - [SDF2_MOUSE]
Q9ESP1,Stromal cell-derived factor 2-like protein 1 OS=Mus musculus GN=Sdf2l1 PE=2 SV=2 - [SDF2L_MOUSE]
Q9CU62,Structural maintenance of chromosomes protein 1A OS=Mus musculus GN=Smc1a PE=1 SV=4 - [SMC1A_MOUSE]
P30549,Substance-K receptor OS=Mus musculus GN=Tacr2 PE=2 SV=1 - [NK2R_MOUSE]
Q3U276,"Succinate dehydrogenase assembly factor 1, mitochondrial OS=Mus musculus GN=Sdhaf1 PE=3 SV=1 - [SDHF1_MOUSE]"
Q8C6I2,"Succinate dehydrogenase assembly factor 2, mitochondrial OS=Mus musculus GN=Sdhaf2 PE=2 SV=1 - [SDHF2_MOUSE]"
Q8BQU3,"Succinate dehydrogenase assembly factor 3, mitochondrial OS=Mus musculus GN=Acn9 PE=2 SV=1 - [SDHF3_MOUSE]"
Q8BTE0,"Succinate dehydrogenase assembly factor 4, mitochondrial OS=Mus musculus GN=Sdhaf4 PE=2 SV=2 - [SDHF4_MOUSE]"
Q9Z2I9,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Mus musculus GN=Sucla2 PE=1 SV=2 - [SUCB1_MOUSE]"
Q9Z2I8,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Mus musculus GN=Suclg2 PE=1 SV=3 - [SUCB2_MOUSE]"
Q62273,Sulfate transporter OS=Mus musculus GN=Slc26a2 PE=2 SV=1 - [S26A2_MOUSE]
Q3UZZ6,Sulfotransferase 1 family member D1 OS=Mus musculus GN=Sult1d1 PE=1 SV=1 - [ST1D1_MOUSE]
P52840,Sulfotransferase 1A1 OS=Mus musculus GN=Sult1a1 PE=2 SV=1 - [ST1A1_MOUSE]
P63046,Sulfotransferase 4A1 OS=Mus musculus GN=Sult4a1 PE=2 SV=1 - [ST4A1_MOUSE]
D3YVV6,Sulfotransferase OS=Mus musculus GN=Hs3st4 PE=3 SV=1 - [D3YVV6_MOUSE]
P63280,SUMO-conjugating enzyme UBC9 OS=Mus musculus GN=Ube2i PE=1 SV=1 - [UBC9_MOUSE]
Q9JLY0,Suppressor of cytokine signaling 6 OS=Mus musculus GN=Socs6 PE=1 SV=2 - [SOCS6_MOUSE]
Q9CX34,Suppressor of G2 allele of SKP1 homolog OS=Mus musculus GN=Sugt1 PE=2 SV=3 - [SUGT1_MOUSE]
Q8CIT9,Suprabasin OS=Mus musculus GN=Sbsn PE=2 SV=1 - [SBSN_MOUSE]
Q9D5V6,Synapse-associated protein 1 OS=Mus musculus GN=Syap1 PE=1 SV=1 - [SYAP1_MOUSE]
Q8BG39,Synaptic vesicle glycoprotein 2B OS=Mus musculus GN=Sv2b PE=1 SV=1 - [SV2B_MOUSE]
Q69ZS6,Synaptic vesicle glycoprotein 2C OS=Mus musculus GN=Sv2c PE=1 SV=2 - [SV2C_MOUSE]
Q5D525,Synaptonemal complex central element protein 1-like OS=Mus musculus GN=Syce1l PE=2 SV=2 - [SYC1L_MOUSE]
Q8R570,Synaptosomal-associated protein 47 OS=Mus musculus GN=Snap47 PE=1 SV=1 - [SNP47_MOUSE]
Q920N7,Synaptotagmin-12 OS=Mus musculus GN=Syt12 PE=2 SV=1 - [SYT12_MOUSE]
P46097,Synaptotagmin-2 OS=Mus musculus GN=Syt2 PE=1 SV=1 - [SYT2_MOUSE]
Q3TIR3,Synembryn-A OS=Mus musculus GN=Ric8a PE=1 SV=2 - [RIC8A_MOUSE]
Q5SV85,Synergin gamma OS=Mus musculus GN=Synrg PE=1 SV=1 - [SYNRG_MOUSE]
Q9D614,"Syntaxin 17, isoform CRA_b OS=Mus musculus GN=Stx17 PE=2 SV=1 - [Q9D614_MOUSE]"
Q8BH40,Syntaxin 7 OS=Mus musculus GN=Stx7 PE=2 SV=1 - [Q8BH40_MOUSE]
O35526,Syntaxin-1A OS=Mus musculus GN=Stx1a PE=1 SV=3 - [STX1A_MOUSE]
Q3TJ55,Syntaxin-2 OS=Mus musculus GN=Stx2 PE=2 SV=1 - [Q3TJ55_MOUSE]
P70452,Syntaxin-4 OS=Mus musculus GN=Stx4 PE=1 SV=1 - [STX4_MOUSE]
Q9JKK1,Syntaxin-6 OS=Mus musculus GN=Stx6 PE=1 SV=1 - [STX6_MOUSE]
Q8K400,Syntaxin-binding protein 5 OS=Mus musculus GN=Stxbp5 PE=1 SV=3 - [STXB5_MOUSE]
A0A087WR97,TAR DNA-binding protein 43 (Fragment) OS=Mus musculus GN=Tardbp PE=4 SV=1 - [A0A087WR97_MOUSE]
Q921F2,TAR DNA-binding protein 43 OS=Mus musculus GN=Tardbp PE=1 SV=1 - [TADBP_MOUSE]
Q7M724,Taste receptor type 2 member 106 OS=Mus musculus GN=Tas2r106 PE=2 SV=1 - [TR106_MOUSE]
K7N6J6,Taste receptor type 2 OS=Mus musculus GN=Vmn1r120 PE=3 SV=1 - [K7N6J6_MOUSE]
Q8BHL3,TBC1 domain family member 10B OS=Mus musculus GN=Tbc1d10b PE=1 SV=2 - [TB10B_MOUSE]
Q8K0F1,TBC1 domain family member 23 OS=Mus musculus GN=Tbc1d23 PE=2 SV=1 - [TBC23_MOUSE]
B1AVH7,TBC1 domain family member 2A OS=Mus musculus GN=Tbc1d2 PE=2 SV=1 - [TBD2A_MOUSE]
Q80XQ2,TBC1 domain family member 5 OS=Mus musculus GN=Tbc1d5 PE=1 SV=2 - [TBCD5_MOUSE]
Q9Z1A9,TBC1 domain family member 8 OS=Mus musculus GN=Tbc1d8 PE=2 SV=2 - [TBCD8_MOUSE]
Q5SVR0,TBC1 domain family member 9B OS=Mus musculus GN=Tbc1d9b PE=2 SV=1 - [TBC9B_MOUSE]
P80316,T-complex protein 1 subunit epsilon OS=Mus musculus GN=Cct5 PE=1 SV=1 - [TCPE_MOUSE]
Q80VP0,Tectonin beta-propeller repeat-containing protein 1 OS=Mus musculus GN=Tecpr1 PE=2 SV=1 - [TCPR1_MOUSE]
Q9DAJ2,Tektin-1 OS=Mus musculus GN=Tekt1 PE=2 SV=1 - [TEKT1_MOUSE]
O35144,Telomeric repeat-binding factor 2 OS=Mus musculus GN=Terf2 PE=1 SV=3 - [TERF2_MOUSE]
Q80Z71,Tenascin-N OS=Mus musculus GN=Tnn PE=1 SV=2 - [TENN_MOUSE]
Q8CGB6,Tensin-like C1 domain-containing phosphatase OS=Mus musculus GN=Tenc1 PE=1 SV=1 - [TENC1_MOUSE]
Q9ER58,Testican-2 OS=Mus musculus GN=Spock2 PE=2 SV=1 - [TICN2_MOUSE]
Q8BKV0,Testican-3 OS=Mus musculus GN=Spock3 PE=2 SV=2 - [TICN3_MOUSE]
E5FYH1,Testis- and ovary-specific PAZ domain-containing protein 1 OS=Mus musculus GN=Topaz1 PE=2 SV=1 - [TOPZ1_MOUSE]
O54887,Testis-specific serine kinase substrate OS=Mus musculus GN=Tsks PE=1 SV=4 - [TSKS_MOUSE]
P70385,Testosterone 17-beta-dehydrogenase 3 OS=Mus musculus GN=Hsd17b3 PE=1 SV=2 - [DHB3_MOUSE]
Q9CY00,Tetratricopeptide repeat protein 30B OS=Mus musculus GN=Ttc30b PE=2 SV=1 - [TT30B_MOUSE]
Q99LG4,Tetratricopeptide repeat protein 5 OS=Mus musculus GN=Ttc5 PE=1 SV=2 - [TTC5_MOUSE]
Q810A3,Tetratricopeptide repeat protein 9C OS=Mus musculus GN=Ttc9c PE=2 SV=1 - [TTC9C_MOUSE]
O08811,TFIIH basal transcription factor complex helicase XPD subunit OS=Mus musculus GN=Ercc2 PE=2 SV=2 - [ERCC2_MOUSE]
Q8C1A5,Thimet oligopeptidase OS=Mus musculus GN=Thop1 PE=1 SV=1 - [THOP1_MOUSE]
H7BX21,Thioredoxin domain-containing protein 2 OS=Mus musculus GN=Txndc2 PE=4 SV=1 - [H7BX21_MOUSE]
Q99MD6,Thioredoxin reductase 3 OS=Mus musculus GN=Txnrd3 PE=1 SV=3 - [TRXR3_MOUSE]
Q9D0B5,Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3 OS=Mus musculus GN=Tstd3 PE=1 SV=1 - [TSTD3_MOUSE]
Q3UQ84,"Threonine--tRNA ligase, mitochondrial OS=Mus musculus GN=Tars2 PE=2 SV=1 - [SYTM_MOUSE]"
Q80YQ1,Thrombospondin 1 OS=Mus musculus GN=Thbs1 PE=2 SV=1 - [Q80YQ1_MOUSE]
P97930,Thymidylate kinase OS=Mus musculus GN=Dtymk PE=2 SV=2 - [KTHY_MOUSE]
Q91YJ3,Thymocyte nuclear protein 1 OS=Mus musculus GN=Thyn1 PE=1 SV=1 - [THYN1_MOUSE]
Q9QXY1,Tight junction protein ZO-3 OS=Mus musculus GN=Tjp3 PE=1 SV=1 - [ZO3_MOUSE]
A2ASS6,Titin OS=Mus musculus GN=Ttn PE=1 SV=1 - [TITIN_MOUSE]
F6R2M8,TM2 domain-containing protein 1 (Fragment) OS=Mus musculus GN=Tm2d1 PE=4 SV=1 - [F6R2M8_MOUSE]
Q6P3Z7,Tnnt2 protein OS=Mus musculus GN=Tnnt2 PE=2 SV=1 - [Q6P3Z7_MOUSE]
Q5NCF2,Trafficking protein particle complex subunit 1 OS=Mus musculus GN=Trappc1 PE=1 SV=1 - [TPPC1_MOUSE]
O55013,Trafficking protein particle complex subunit 3 OS=Mus musculus GN=Trappc3 PE=1 SV=1 - [TPPC3_MOUSE]
Q4KL14,Trafficking protein particle complex subunit 3-like protein OS=Mus musculus GN=Trappc3l PE=2 SV=1 - [TPC3L_MOUSE]
Q9JIX0,Transcription and mRNA export factor ENY2 OS=Mus musculus GN=Eny2 PE=2 SV=1 - [ENY2_MOUSE]
P10711,Transcription elongation factor A protein 1 OS=Mus musculus GN=Tcea1 PE=1 SV=2 - [TCEA1_MOUSE]
Q8CCT4,Transcription elongation factor A protein-like 5 OS=Mus musculus GN=Tceal5 PE=1 SV=1 - [TCAL5_MOUSE]
P62869,Transcription elongation factor B polypeptide 2 OS=Mus musculus GN=Tceb2 PE=1 SV=1 - [ELOB_MOUSE]
O55201,Transcription elongation factor SPT5 OS=Mus musculus GN=Supt5h PE=1 SV=1 - [SPT5H_MOUSE]
Q8CGF7,Transcription elongation regulator 1 OS=Mus musculus GN=Tcerg1 PE=1 SV=2 - [TCRG1_MOUSE]
Q8R3L2,Transcription factor 25 OS=Mus musculus GN=Tcf25 PE=1 SV=2 - [TCF25_MOUSE]
Q64152,Transcription factor BTF3 OS=Mus musculus GN=Btf3 PE=1 SV=3 - [BTF3_MOUSE]
A0A087WNL4,Transcription factor Dp-2 (Fragment) OS=Mus musculus GN=Tfdp2 PE=4 SV=1 - [A0A087WNL4_MOUSE]
O54917,Transcription factor E2F6 OS=Mus musculus GN=E2f6 PE=2 SV=2 - [E2F6_MOUSE]
Q3UHF7,Transcription factor HIVEP2 OS=Mus musculus GN=Hivep2 PE=1 SV=1 - [ZEP2_MOUSE]
F7D7H6,Transcription factor HIVEP3 OS=Mus musculus GN=Hivep3 PE=4 SV=1 - [F7D7H6_MOUSE]
Q04207,Transcription factor p65 OS=Mus musculus GN=Rela PE=1 SV=1 - [TF65_MOUSE]
Q8CGW4,Transcription factor SOX-30 OS=Mus musculus GN=Sox30 PE=2 SV=1 - [SOX30_MOUSE]
P35710,Transcription factor SOX-5 OS=Mus musculus GN=Sox5 PE=1 SV=2 - [SOX5_MOUSE]
Q3TTC2,Transcription factor YY2 OS=Mus musculus GN=Yy2 PE=2 SV=1 - [TYY2_MOUSE]
D3YZK4,Transcription initiation factor TFIID subunit 1 OS=Mus musculus GN=Taf1 PE=1 SV=1 - [D3YZK4_MOUSE]
Q5HZG4,Transcription initiation factor TFIID subunit 3 OS=Mus musculus GN=Taf3 PE=1 SV=2 - [TAF3_MOUSE]
Q8C092,Transcription initiation factor TFIID subunit 5 OS=Mus musculus GN=Taf5 PE=2 SV=1 - [TAF5_MOUSE]
Q8VHR5,Transcriptional repressor p66-beta OS=Mus musculus GN=Gatad2b PE=1 SV=1 - [P66B_MOUSE]
P27090,Transforming growth factor beta-2 OS=Mus musculus GN=Tgfb2 PE=1 SV=2 - [TGFB2_MOUSE]
P37804,Transgelin OS=Mus musculus GN=Tagln PE=1 SV=3 - [TAGL_MOUSE]
Q923J1,Transient receptor potential cation channel subfamily M member 7 OS=Mus musculus GN=Trpm7 PE=1 SV=1 - [TRPM7_MOUSE]
A0A0A6YW69,Transient receptor potential cation channel subfamily V member 5 OS=Mus musculus GN=Trpv5 PE=4 SV=1 - [A0A0A6YW69_MOUSE]
Q62348,Translin OS=Mus musculus GN=Tsn PE=1 SV=1 - [TSN_MOUSE]
Q99P25,Translin-associated factor X-interacting protein 1 OS=Mus musculus GN=Tsnaxip1 PE=1 SV=2 - [TXIP1_MOUSE]
Q9CRG1,Transmembrane 7 superfamily member 3 OS=Mus musculus GN=Tm7sf3 PE=2 SV=2 - [TM7S3_MOUSE]
Q80X59,Transmembrane and coiled-coil domain-containing protein 5B OS=Mus musculus GN=Tmco5b PE=2 SV=1 - [TMC5B_MOUSE]
Q7TN58,Transmembrane channel-like protein 8 OS=Mus musculus GN=Tmc8 PE=1 SV=2 - [TMC8_MOUSE]
E9QPR6,Transmembrane protease serine 13 OS=Mus musculus GN=Tmprss13 PE=3 SV=1 - [E9QPR6_MOUSE]
Q9DBI0,Transmembrane protease serine 6 OS=Mus musculus GN=Tmprss6 PE=1 SV=4 - [TMPS6_MOUSE]
Q8VC04,Transmembrane protein 106A OS=Mus musculus GN=Tmem106a PE=2 SV=1 - [T106A_MOUSE]
Q6PDE8,Transmembrane protein 180 OS=Mus musculus GN=Tmem180 PE=2 SV=1 - [TM180_MOUSE]
Q80W35,Transmembrane protein 202 OS=Mus musculus GN=Tmem202 PE=2 SV=1 - [TM202_MOUSE]
Q4FJU9,Transmembrane protein 40 OS=Mus musculus GN=Tmem40 PE=2 SV=1 - [TMM40_MOUSE]
Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus GN=Hadha PE=1 SV=1 - [ECHA_MOUSE]"
Q64737,Trifunctional purine biosynthetic protein adenosine-3 OS=Mus musculus GN=Gart PE=2 SV=3 - [PUR2_MOUSE]
B7ZWG4,Trim40 protein OS=Mus musculus GN=Trim40 PE=2 SV=1 - [B7ZWG4_MOUSE]
Q3TMP8,Trimeric intracellular cation channel type A OS=Mus musculus GN=Tmem38a PE=1 SV=2 - [TM38A_MOUSE]
Q99PP6,Tripartite motif-containing protein 34A OS=Mus musculus GN=Trim34a PE=2 SV=2 - [TR34A_MOUSE]
A0A087WPC1,Tripartite motif-containing protein 43C OS=Mus musculus GN=Trim43c PE=4 SV=1 - [A0A087WPC1_MOUSE]
D3Z0I5,Tripartite motif-containing protein 59 (Fragment) OS=Mus musculus GN=Trim59 PE=4 SV=1 - [D3Z0I5_MOUSE]
Q8BGE7,Tripartite motif-containing protein 6 OS=Mus musculus GN=Trim6 PE=2 SV=1 - [TRIM6_MOUSE]
Q8VI40,Tripartite motif-containing protein 60 OS=Mus musculus GN=Trim60 PE=1 SV=1 - [TRI60_MOUSE]
Q8BFW4,Tripartite motif-containing protein 65 OS=Mus musculus GN=Trim65 PE=2 SV=1 - [TRI65_MOUSE]
